rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness,eco_score
2147,5,14.2,7.87,0.97,42.1
1703,3,4.2,9.37,0.5,36.1
2253,0,5.5,8.85,0.78,49.8
2866,3,21.7,5.87,0.6,27.7
1636,2,3.1,6.71,0.99,79.4
1636,2,0.0,8.33,0.24,41.3
2905,4,18.5,8.06,0.67,29.6
2337,4,12.2,9.25,0.54,28.5
1471,2,13.3,8.36,0.87,55.0
2179,2,14.8,8.59,0.46,27.7
1475,5,7.5,8.4,0.61,44.0
1473,2,14.9,7.31,0.96,60.8
1969,2,0.0,6.75,0.57,59.0
500,0,9.7,7.7,0.89,87.0
592,2,14.4,7.84,0.67,57.0
1406,2,11.2,6.57,0.45,62.5
1091,1,2.7,6.19,0.48,73.3
2019,2,10.4,7.83,0.67,47.4
1164,2,18.5,7.77,0.8,51.8
811,1,12.0,6.62,0.95,79.3
2825,2,7.4,8.0,0.84,44.0
1641,1,9.1,7.4,0.69,60.1
1847,6,20.0,10.9,0.46,6.5
802,7,24.3,8.4,0.54,19.4
1418,1,0.4,6.84,0.63,82.7
1877,6,20.9,10.01,0.16,0.0
994,1,14.2,8.64,0.7,47.4
2062,3,6.9,8.79,0.66,38.6
1379,2,12.9,8.83,0.56,43.2
1595,3,10.3,8.77,0.35,29.5
1378,5,9.6,8.18,0.61,30.6
3096,2,9.7,8.12,0.7,38.7
1790,1,2.2,7.57,0.59,61.4
1059,3,12.0,9.75,0.95,60.9
2375,4,10.5,9.5,0.62,37.2
945,4,11.5,8.64,0.5,39.5
1946,2,8.9,9.31,0.86,45.5
500,7,15.5,9.83,0.39,23.6
870,1,5.5,4.15,0.86,97.8
1937,0,0.0,4.69,0.86,80.9
2316,3,21.4,7.72,0.49,36.4
1919,4,21.4,8.65,0.84,45.0
1719,3,15.3,9.76,0.62,31.8
1589,1,7.2,9.61,0.64,49.1
765,1,13.1,7.35,0.61,63.8
1296,1,0.5,6.83,0.53,65.3
1477,5,18.6,8.38,0.66,27.9
2539,1,6.6,7.84,0.76,61.4
2040,3,5.0,9.69,0.51,37.9
565,2,16.2,6.53,0.64,71.5
2026,2,12.9,7.62,0.44,40.6
1530,3,9.2,4.87,0.81,72.9
1326,3,11.4,9.02,0.56,42.5
2228,3,7.0,7.42,0.55,46.8
2521,1,11.8,6.43,0.79,59.6
2451,6,17.6,8.13,0.43,13.5
1212,2,12.3,6.98,0.83,76.1
1583,4,2.1,9.15,0.67,36.4
2031,4,14.0,10.06,0.6,23.1
2482,4,7.2,8.5,0.34,28.5
1464,3,16.1,6.33,1.0,61.2
1670,0,7.7,6.54,0.37,63.5
1025,0,18.9,8.2,0.56,59.0
962,2,7.6,4.67,0.75,77.5
2368,1,2.2,7.57,0.68,56.8
2749,1,5.0,8.33,1.0,65.0
1749,8,17.7,12.12,0.6,0.0
2502,4,7.4,9.83,0.49,24.3
2053,5,2.1,10.22,0.87,33.5
1348,4,16.0,7.96,0.7,38.6
2052,3,22.0,10.04,0.71,29.4
2876,2,17.3,6.51,0.75,46.0
1774,3,9.8,7.71,0.92,59.4
2895,2,7.5,10.58,0.74,31.2
500,0,7.7,6.43,0.66,81.0
2375,3,17.3,7.68,0.64,39.8
1860,2,7.5,10.39,0.55,44.9
1590,3,10.6,8.53,0.8,48.5
1864,6,26.4,11.56,0.28,0.0
500,1,9.9,6.33,0.91,91.2
1646,5,21.1,7.77,0.44,29.8
2049,1,10.8,7.3,0.66,50.7
2834,2,10.2,8.83,0.56,27.2
1437,0,7.9,4.1,0.6,79.1
1234,2,3.1,3.5,0.75,84.4
1448,5,16.2,10.78,0.71,23.5
2440,3,14.1,10.83,0.74,25.3
2030,9,13.4,10.26,0.17,0.0
1429,1,15.0,7.47,0.82,61.4
2159,3,12.2,7.27,0.51,33.1
1867,4,11.5,9.07,0.83,46.9
2478,1,16.8,9.4,0.93,40.8
1308,3,4.3,8.43,0.54,47.0
1570,2,12.6,8.68,0.32,30.6
1525,1,12.5,5.46,0.7,69.9
775,1,10.6,6.05,0.67,75.5
2007,4,10.1,7.65,0.72,47.8
1982,2,21.4,7.52,0.74,48.4
1803,3,15.2,9.87,0.76,31.2
1635,2,5.8,7.51,0.63,58.9
809,4,9.6,6.95,0.84,67.5
1505,2,1.3,6.11,0.78,75.5
1560,0,7.2,5.92,0.61,72.7
1238,2,20.7,8.07,0.82,52.6
1687,0,0.9,5.26,0.85,92.8
2082,1,10.8,6.87,0.56,60.7
3120,1,7.5,7.12,0.53,41.4
1922,0,9.6,7.08,0.67,66.0
1980,4,14.7,9.9,0.64,25.9
1747,1,10.1,8.15,0.54,48.5
500,5,6.8,8.54,0.67,53.2
1781,2,6.2,7.04,0.85,64.4
1842,2,8.4,6.55,0.49,44.4
3524,3,12.2,8.62,0.56,22.7
1665,4,19.6,9.37,0.77,34.6
2011,0,18.8,8.29,0.85,67.4
1775,5,13.4,8.58,0.7,39.6
981,4,10.6,8.71,0.61,45.8
2599,3,12.3,8.83,0.71,35.6
2326,2,11.8,8.09,0.88,59.6
2353,1,18.5,8.8,0.91,48.8
1163,3,4.4,8.96,0.59,54.0
2781,2,13.9,9.44,0.7,28.3
818,3,17.4,6.14,0.78,69.7
2210,4,8.2,8.12,0.7,40.9
3333,3,18.1,12.14,0.66,4.4
1106,6,10.2,9.07,0.68,31.4
1403,4,5.4,9.1,0.59,34.4
1869,3,10.4,7.23,0.73,46.5
1447,5,17.8,9.52,0.62,25.0
714,4,3.3,6.28,0.52,64.8
1847,8,8.9,9.33,0.32,0.0
1056,0,13.4,5.09,1.0,92.5
2131,6,14.4,8.1,0.39,17.8
1156,2,12.3,5.52,0.7,76.7
2884,3,14.5,7.58,0.68,40.3
1251,1,1.9,4.98,0.74,82.7
1574,3,8.7,6.65,0.79,62.9
2369,1,9.0,7.71,0.66,59.6
938,4,8.3,8.41,0.59,48.6
1959,3,9.6,7.35,0.67,46.7
2714,3,16.2,7.94,0.41,24.4
674,1,0.0,6.63,0.57,75.8
1929,2,11.2,7.57,0.88,56.0
1981,2,5.2,8.01,0.61,55.4
2347,5,12.6,10.13,0.31,0.0
934,0,6.7,6.39,0.52,78.0
875,1,9.7,6.69,0.59,71.6
2165,1,8.8,8.74,0.64,47.3
2007,2,11.9,6.19,0.62,50.2
1975,4,15.9,11.07,0.84,19.6
2042,3,3.8,8.08,0.7,54.2
